Em_eV,thetas_rad
1.360000000000000000e+03,1.533346444058603986e+00
1.370000000000000000e+03,1.533483521000900129e+00
1.380000000000000000e+03,1.533619103660361915e+00
1.390000000000000000e+03,1.533753218989927891e+00
1.400000000000000000e+03,1.533885893266775602e+00
1.410000000000000000e+03,1.534017152113979154e+00
1.420000000000000000e+03,1.534147020521255289e+00
1.430000000000000000e+03,1.534275522864987806e+00
1.440000000000000000e+03,1.534402682927424433e+00
1.450000000000000000e+03,1.534528523915189346e+00
1.460000000000000000e+03,1.534653068477048521e+00
1.470000000000000000e+03,1.534776338721025590e+00
1.480000000000000000e+03,1.534898356230935512e+00
1.490000000000000000e+03,1.535019142082218568e+00
1.500000000000000000e+03,1.535138716857239904e+00
1.510000000000000000e+03,1.535257100660018192e+00
1.520000000000000000e+03,1.535374313130446478e+00
1.530000000000000000e+03,1.535490373457953250e+00
1.540000000000000000e+03,1.535605300394725425e+00
1.550000000000000000e+03,1.535719112268412179e+00
1.560000000000000000e+03,1.535831826994401794e+00
1.570000000000000000e+03,1.535943462087682843e+00
1.580000000000000000e+03,1.536054034674282143e+00
1.590000000000000000e+03,1.536163561502277952e+00
1.600000000000000000e+03,1.536272058952467878e+00
